lon,lat,plastic_c,bin_c
80.4052434,7.2568468,2,0
80.4052619,7.2568353,3,0
80.4053066,7.2568204,5,0
80.4053446,7.2568112,2,0
80.4053937,7.2568059,5,0
80.4054093,7.2568021,4,0
80.4055024,7.2567845,5,0
80.40552550000001,7.2567807,4,0
80.4055733,7.2567678,9,0
80.40559920000001,7.2567643,4,0
80.405623,7.2567585,2,0
80.4056487,7.2567556,6,0
80.40570140000001,7.2567444,13,0
80.40572850000001,7.2567375,13,0
80.4057549,7.2567302,12,0
80.40580560000001,7.2567187,5,0
80.4058318,7.2567135,8,0
80.4058569,7.2567094,12,0
80.40589460000001,7.2567013,17,0
80.40592140000001,7.256699,11,0
80.4059617,7.2566893,2,0
80.4060084,7.2566758,0,0
80.40603300000001,7.2566707,3,0
80.4060651,7.2566657,0,0
80.40608900000001,7.2566611,1,0
80.40615910000001,7.2566467,0,0
80.4062035,7.2566407,0,0
80.40625960000001,7.2566392,7,0
80.40630750000001,7.2566287,2,0
80.40637570000001,7.256621,6,0
80.40644520000001,7.2566088,3,0
80.40647650000001,7.2566035,1,0
80.4065053,7.2565977,10,0
80.4065331,7.256594,3,0
80.4065643,7.2565896,1,0
80.40662660000001,7.2565784,2,0
80.4066571,7.2565747,3,0
80.4066885,7.2565688,5,0
80.4067514,7.2565566,5,0
80.40681400000001,7.2565457,6,0
80.4068641,7.2565493,12,0
80.4068934,7.2565342,13,0
80.4069674,7.2565118,0,0
80.4070088,7.2565007,1,0
80.40703380000001,7.2564839,2,0
80.407092,7.2564771,12,0
80.40716540000001,7.2564638,3,0
80.40727910000001,7.2564477,2,0
80.4073087,7.2564482,2,0
80.4073288,7.256452,1,0
80.4073372,7.2564562,3,0
80.4073474,7.2564601,5,0
80.4073551,7.2564695,6,0
80.40736290000001,7.2564798,9,0
80.407374,7.2564969,12,0
80.4073817,7.2565167,2,0
80.40738970000001,7.2565336,0,0
80.4073997,7.2565557,1,0
80.4074104,7.2565809,4,0
80.40742540000001,7.2566357,0,0
80.4074363,7.2566706,0,0
80.4074396,7.2566899,1,0
80.4074451,7.2567071,0,0
80.4074568,7.2567534,3,0
80.40747350000001,7.2567834,4,0
80.4074918,7.2568247,4,0
80.4075074,7.2568854,2,0
80.4074837,7.2569274,2,0
80.4074573,7.2569419,2,0
80.4074365,7.2569618,1,0
80.40741750000001,7.256987,3,0
80.40740770000001,7.2570014,4,0
80.40736960000001,7.2570412,0,0
80.4073601,7.2570537,4,0
80.40732200000001,7.2570946,7,0
80.40726500000001,7.2571537,3,0
80.4072275,7.2571788,3,0
80.40721810000001,7.2571842,5,0
80.40717670000001,7.257203,7,0
80.4071363,7.2572362,7,0
80.4070842,7.2572756,0,0
80.40704140000001,7.2573073,1,0
80.4070267,7.2573253,3,0
80.40700890000001,7.2573514,4,0
80.4069688,7.2574084,4,0
80.40698470000001,7.2574161,3,0
80.4069789,7.2574337,5,0
80.4069635,7.2574522,5,0
80.4069492,7.2574712,2,0
80.4069219,7.2575008,7,0
